;LENGTH;BUILD YEAR;TOP SPEED;BEAM;GT;GUESTS;CREW;BROKER;CHARTER;Name:;Yacht Type:;Series, Model, Class:;Builder:;Naval Architect:;Exterior Designer:;Interior Designer:;Length Overall:;Length at Waterline:;Beam:;Max Draught:;Gross Tonnage:;Displacement Tonnage:;Year of Build:;Hull Number:;Hull Type:;Classification:;Max Speed:;Cruising Speed:;Fuel Capacity:;Water Capacity:;Engine Make:;Total power:;Hull:;Superstructure:;Deck:;Guests:;Passenger Rooms:;Master Rooms:;Double Rooms:;Twin Rooms:;Number of Decks:;Range:;;VIP Rooms:;Refits:;Single Rooms:;Triple Rooms:;Yacht Subtype:;Convertible:;Crew bunk beds:;Pullman Beds:;MCA Compliant:;Engine Model;Build time:
569;41.45 m;2011;18 kn;8.2 m;353;13;8;https://www.fraseryachts.com/;;DREAMER;Motor Yacht;;Hargrave Custom Yachts;;;;41.45 metres;36.3 metres;8.2 metres;2.26 metres;353;195;2011;175;Semi Displacement;RINA;18 kn;12 kn;39747 litres;4921 litres;Caterpillar;3650hp;Epoxy,Wood;Epoxy,Wood;Teak;13;5;1;3;1;3;3300 nm;@ 10 kn;;2020-01-01;;;;;;;;;
570;28.43 m;2007;17 kn;7.31 m;189;8;6;https://www.oceanindependence.com/yachts-for-sale/yacht/jarela;;JARELA;Motor Yacht;Navetta 30;Custom Line;;;;28.43 metres;26.9 metres;7.31 metres;2.2 metres;189;135;2007;30/18;Semi Displacement;;17 kn;14 kn;14500 litres;3800 litres;MAN;2720hp;GRP;GRP;Teak;8;4;1;2;2;3;1000 nm;@ 13 kn;1;2011-01-01;;;;;;;;;
571;32 m;2008;25 kn;7.07 m;195;11;5;https://atalantamarine.com/yacht/cantieri-di-pisa-akhir-105/;Price from €64,000 p/w •;REGINA K;Motor Yacht;Akhir 32;Cantieri di Pisa;;;;32 metres;27.27 metres;7.07 metres;2.5 metres;195;;2008;683;Deep V / Planing;LR;25 kn;20 kn;14000 litres;3000 litres;MTU;4800hp;GRP;GRP;Teak;11;5;1;2;2;2;400 nm;@ 20 kn;;2018-01-01;;;;;;;;;
572;29.02 m;1987;10 kn;6.31 m;102.9;6;4;https://parsifalyachting.com/BrokerageYacht.aspx?Id=189;Price from €24,000 p/w •;WIND OF CHANGE;Sail Yacht;;Brooke Marine;;;;29.02 metres;22.98 metres;6.31 metres;3.29 metres;102.9;81;1987;;Monohull;HR;10 kn;9 kn;11000 litres;6000 litres;Fiat Iveco;310hp;Steel;Steel;Teak;6;3;1;1;1;;;;;1998-01-01,1994-01-01,2013-01-01;;;;;;;;;
573;29.8 m;1991;19 kn;6.49 m;142;8;4;https://www.oceanindependence.com/yachts-for-sale/yacht/camena;;CAMENA;Motor Yacht;Neth-Ship 98;Lowland;De Vries Lentsch;De Vries Lentsch;De Vries Lentsch;29.8 metres;25.34 metres;6.49 metres;2 metres;142;100;1991;425;Semi Displacement;;19 kn;16 kn;15200 litres;5200 litres;Detroit Diesel;2800hp;Aluminium;Aluminium;Teak;8;;;;;;;;;;;;;;;;;;
574;27.4 m;2000;14 kn;6.4 m;158;8;4;https://www.northropandjohnson.com/yachts-for-sale/doubleyou-89-cheoy-lee;;DOUBLEYOU;Motor Yacht;90 Expedition;Cheoy Lee;;;;27.4 metres;23.41 metres;6.4 metres;2.13 metres;158;94;2000;4723;Full Displacement;;14 kn;12 kn;18430 litres;5815 litres;Caterpillar;1200hp;GRP;GRP;GRP,Teak;8;6;1;;2;3;4300 nm;@ 9.5 kn;1;;;;;;;;;;
575;49.9 m;2010;20 kn;8.54 m;490;12;10;https://www.northropandjohnson.com/yachts-for-sale/impromptu-164-trinity-yachts;;IMPROMPTU;Motor Yacht;164;Trinity Yachts;;;;49.9 metres;45.02 metres;8.54 metres;2.6 metres;490;300;2010;T055;Semi Displacement;ABS;20 kn;18 kn;66040 litres;10046 litres;Caterpillar;4500hp;Aluminium;Aluminium;Teak;12;6;1;3;1;3;3800 nm;@ 10 kn;1;;;;;;;;;;
576;24.73 m;2015;34 kn;6.28 m;;8;;https://parsifalyachting.com/BrokerageYacht.aspx?Id=267;;FERRETTI 800;Motor Yacht;;Ferretti;;;;24.73 metres;;6.28 metres;1.88 metres;;;2015;;;;34 kn;28 kn;6750 litres;1320 litres;;;;;;8;4;;;;;;;;;;;;;;;;;
577;76.32 m;1972;21 kn;11.58 m;1436;12;28;https://www.privatsea.com/charter-sales/yachts-for-charter/m-y-lady-sarya;;LADY SARYA;Motor Yacht;;NCA;;Dott.Ing. Rinaldo Gastaldi;;76.32 metres;68.22 metres;11.58 metres;4.08 metres;1436;1522;1972;;Full Displacement;LR;21 kn;16 kn;179810 litres;95500 litres;MTU;6008hp;Steel;Aluminium,Steel;Teak;12;;;;;4;4300 nm;@ 16 kn;;;;;;;;;;;
578;135.1 m;1996;;20 m;;300;120;https://www.privatsea.com/charter-sales/yachts-for-charter/m-v-minerva;;MINERVA;Motor Yacht;;Okean Nikolaev – Mariotti Genova;;;;135.1 metres;;20 metres;6.11 metres;;;1996;;;;;;;;;;;;;300;190;;;;;;;;;;;;;;;;;
579;35.2 m;2017;25 kn;7.33 m;245;10;5;https://www.sunseekerbrokerage.com/search/sunseeker-116-yacht-5006/;Price from €115,000 p/w •;FREEDOM;Motor Yacht;116 Yacht;Sunseeker;;;;35.2 metres;27.47 metres;7.33 metres;2.44 metres;245;135.4;2017;71017116;Deep V / Planing;;25 kn;19 kn;14450 litres;4000 litres;MTU;5280hp;GRP;GRP;Teak;10;5;1;2;2;2;1250 nm;@ 12 kn;;;;;;;;;;;
580;41.15 m;2019;37 kn;12.5 m;492;10;10;https://camperandnicholsons.com/luxury-motor-yacht-for-sale/royal-falcon-one-royal-falcon-fleet-2019;;ROYAL FALCON ONE;Motor Yacht;Studio FA Porsche Catamaran;Custom;;Studio F.A. Porsche;Studio F.A. Porsche;41.15 metres;35.7 metres;12.5 metres;1.93 metres;492;;2019;1;Catamaran;LR;37 kn;15 kn;35000 litres;5000 litres;MTU;4600hp;Aluminum;Aluminium;;10;5;1;2;2;3;2 nm;;;;;;Multihull;;;;;;
581;68 m;2024;14.2 kn;13 m;1780;12;19;https://www.fraseryachts.com/;;ICE;Motor Yacht;;;;Hot Lab;Hot Lab;68 metres;66.46 metres;13 metres;3.25 metres;1780;1382;2024;;Full Displacement;;14.2 kn;12 kn;161500 litres;43200 litres;Caterpillar;4000hp;Steel;Aluminium;Teak;12;7;1;1;1;6;5260 nm;@ 10 kn;3;;;;;;;;;;
582;33.7 m;2009;14 kn;7.5 m;175;10;7;https://www.fraseryachts.com/;;MERMAID;Sail Yacht;;Cavusoglu Yat;;;;33.7 metres;29.68 metres;7.5 metres;3.91 metres;175;188.8;2009;;Monohull;TL;14 kn;10 kn;7251 litres;6000 litres;John Deere;900hp;Mahogany;Mahogany;Teak;10;5;1;3;1;;500 nm;@ 10 kn;;2020-01-01;;;;;;;;;
583;50 m;2025;15 kn;8.9 m;499;10;11;https://www.fraseryachts.com/;;PROJECT ATALAY;Motor Yacht;;AKYACHT;;Uldas Design;H2 Yacht Design;50 metres;;8.9 metres;3.1 metres;499;;2025;;Steel;;15 kn;12 kn;;;CATERPILLAR;;;;;10;5;;;;;4000 nm;;;;;;;;;;;;
584;38.21 m;2016;23 kn;8 m;;12;7;https://www.fraseryachts.com/;Price from €120,000 p/w •;FX;Motor Yacht;FX 38;FX Yachts;;Scaro Design;Scaro Design;38.21 metres;33.65 metres;8 metres;3.83 metres;;139;2016;;Semi Displacement;;23 kn;19 kn;38110 litres;3232 litres;MTU;4500hp;EPOXY SANDWICH;GRP;Teak;12;5;1;2;2;2;1000 nm;@ 19 kn;;;;;;;;;;;
585;20.73 m;1992;;5.18 m;51;;;https://www.northropandjohnson.com/yachts-for-sale/disco-lemonade-68-nautor-s-swan;;DISCO LEMONADE;Sail Yacht;;Nautor Swan;;;;20.73 metres;;5.18 metres;3.05 metres;51;;1992;;;;;8.5 kn;1362.75 litres;1570.95 litres;;;;;;;;;;;;;;;2021-01-01;;;;;;;;;
586;32.92 m;2008;18 kn;7.16 m;165;8;4;https://www.fraseryachts.com/;;EL MIRAR II;Motor Yacht;107;Horizon;;;;32.92 metres;;7.16 metres;2 metres;165;;2008;107-316;Semi Displacement;DNV;18 kn;14 kn;19555 litres;3785 litres;Caterpillar;3650hp;GRP;GRP;Teak;8;4;1;2;1;3;;;;;;;;;;;;;
587;40.4 m;2001;12.5 kn;8 m;275;8;6;https://www.g-yachts.com/;;ELLEN;Sail Yacht;40M;Perini Navi;Perini Navi;Perini Navi;Perini Navi;40.4 metres;31.72 metres;8 metres;6.37 metres;275;;2001;;Monohull;AB;12.5 kn;11 kn;25000 litres;8600 litres;MTU;940hp;Steel;Aluminium;Teak;8;4;;;;;3300 nm;@ 10 kn;;2015-04-01,2021-06-15,2023-04-12;;;Motorsailer;;;;;;
588;34.14 m;2006;28 kn;7.13 m;213;8;6;https://www.moranyachts.com/;;MONTRACHET;Motor Yacht;112;Westport;;;;34.14 metres;29.5 metres;7.13 metres;1.68 metres;213;107;2006;7720;Semi Displacement;;28 kn;24 kn;20817 litres;3880 litres;MTU;4000hp;GRP;GRP;GRP,Teak;8;4;1;1;2;2;2200 nm;@ 20 kn;1;2014-01-01;;;;;;;;;
589;28.65 m;2013;35 kn;6.98 m;95;9;2;https://www.yacht-zoo.com/yachts/bonny-read/;;BONNY READ;Motor Yacht;Sea Force 94.5 SF;Sea Force IX;;Sea Force IX;Sea Force IX;28.65 metres;;6.98 metres;1.68 metres;95;72.5;2013;94506;Deep V / Planing;;35 kn;27 kn;18927 litres;1893 litres;MTU;5200hp;GRP;GRP;GRP,Teak;9;4;1;1;1;3;2000 nm;@ 20 kn;1;2021-01-01;;;;;;;;;
590;23.9 m;2003;31 kn;6 m;67;6;;https://www.g-yachts.com/en/yachts-for-sale/at-last-366;;@LAST;Motor Yacht;;Leopard Yachts;;;;23.9 metres;;6 metres;0.91 metres;67;;2003;;;;31 kn;25 kn;;;MTU;;;;;6;3;;;;;;;;;;;;;;;;;
591;63.7 m;2020;17 kn;11 m;1150;12;16;https://iyc.com/yachts/atomic/;;ATOMIC;Motor Yacht;;Viareggio Superyachts (VSY);;;;63.7 metres;;11 metres;3.15 metres;1150;970;2020;VSY003;Full Displacement;ABS;17 kn;14 kn;163000 litres;39000 litres;Caterpillar;5364hp;Steel;Aluminium;Teak;12;6;1;5;;3;5200 nm;@ 12 kn;;2021-02-20,2023-07-27;;;;;;;;;
592;25.91 m;2000;42 kn;6 m;;6;2;https://charterandcharter.com/magnum-charter/;;MAGNUM 80;Motor Yacht;Magnum 80 Sport;Magnum;;;;25.91 metres;;6 metres;1.37 metres;;44;2000;80001;Deep V / Planing;;42 kn;35 kn;6000 litres;1589 litres;MTU;3600hp;GRP;GRP;GRP;6;3;1;;2;;350 nm;@ 36 kn;;;;;;;;;;;
593;43 m;2013;15.5 kn;8.65 m;456;10;9;https://camperandnicholsons.com/luxury-motor-yacht-for-sale/only-eighty-crn-ancona-2013;Price from €182,000 p/w •;ONLY EIGHTY;Motor Yacht;43;CRN;;;;43 metres;36.15 metres;8.65 metres;2.3 metres;456;330;2013;43/08;Full Displacement;RINA;15.5 kn;13 kn;45000 litres;11890 litres;Caterpillar;3000hp;GRP;GRP;Teak;10;5;1;3;1;3;4000 nm;@ 12 kn;2;2019-05-24,2023-04-25;;;;;;;;;
594;21.45 m;;;5.3 m;;8;2;https://www.g-yachts.com/;;MEIGA;Motor Yacht;;Prestige Yachts;;;Studio Garroni;21.45 metres;;5.3 metres;1.58 metres;;36.3;;;;;;;3450 litres;760 litres;Volvo D13;2000hp;;;;8;4;;;;;;;;;;;;;;;;;
595;32.5 m;2001;27 kn;7.07 m;171;10;6;https://www.oceanindependence.com/yachts-for-sale/yacht/q;;Q;Motor Yacht;106;Falcon Yachts;;;;32.5 metres;;7.07 metres;2.13 metres;171;135;2001;211;Deep V / Planing;;27 kn;24 kn;14345 litres;3000 litres;MTU;4570hp;GRP;GRP;Teak;10;5;1;2;2;2;;;1;2007-01-01;;;;;;;;;
596;29.06 m;2021;28 kn;6.78 m;100;;;https://www.simpsonmarine.com/yachts/Sanlorenzo-SL96A-8154326;;SANLORENZO SL96A;Motor Yacht;SL96A;Sanlorenzo;;Sanlorenzo;Sanlorenzo;29.06 metres;;6.78 metres;1.92 metres;100;;2021;760;Deep V / Planing;;28 kn;25 kn;;;MTU;;GRP;GRP;Teak;;;;;;2;;;;;;;;;;;;;
597;40.2 m;2014;15.5 kn;8.18 m;346;12;7;https://www.g-yachts.com/;;FREEDAY;Motor Yacht;Supreme 132;Benetti;Benetti;Stefano Righini;Francois Zuretti;40.2 metres;;8.18 metres;2.23 metres;346;275;2014;BS003;Full Displacement;RINA;15.5 kn;14.5 kn;58000 litres;8000 litres;Caterpillar;2894hp;GRP;GRP;Teak;12;5;1;2;2;3;2500 nm;@ 12 kn;;2020-10-15;;;Displacement;;;;;;
598;49.9 m;2015;19 kn;9 m;499;10;;https://www.oceanindependence.com/yachts-for-sale/yacht/sibelle;;SIBELLE;Motor Yacht;;Heesen Yachts;;;;49.9 metres;;9 metres;2.15 metres;499;;2015;167 50;Full Displacement;ABS;19 kn;15.1 kn;45000 litres;16500 litres;MTU;2680hp;;;;10;5;1;1;1;3;;;2;2022-01-01;;;;;;;;;
599;35.4 m;1970;14 kn;6.71 m;172;6;7;https://www.northropandjohnson.com/;Price from €49,000 p/w •;ALHAMBRA;Motor Yacht;;Feadship;;;;35.4 metres;30.8 metres;6.71 metres;2.44 metres;172;;1970;600;Full Displacement;;14 kn;12.5 kn;29400 litres;7000 litres;General Motors;980hp;Steel;Aluminium,Steel;Teak;6;4;1;;2;3;2500 nm;@ 12.5 kn;;2022-01-01;;;;;;;;;
600;52 m;1999;16 kn;10.3 m;887;12;13;https://www.parsifal.gr/BrokerageYacht.aspx?Id=252;Price from €235,000 p/w •;VERA;Motor Yacht;;Abeking & Rasmussen;;Espen Oeino International;Luigi Sturchio;52 metres;48 metres;10.3 metres;3.6 metres;887;776;1999;6426;Full Displacement;LR;16 kn;14 kn;142398 litres;45406 litres;Caterpillar;3746hp;Steel;Aluminium;Teak;12;6;1;3;;3;5500 nm;@ 13 kn;2;2009-01-01;;;;;;;;;
601;28.5 m;2019;30 kn;6.78 m;120;8;5;https://camperandnicholsons.com/luxury-motor-yacht-for-sale/lopera-ferretti-2019;;L'OPERA;Motor Yacht;920;Ferretti;;;;28.5 metres;22.34 metres;6.78 metres;2.2 metres;120;98;2019;9210;Deep V / Planing;;30 kn;26 kn;9000 litres;1320 litres;MTU;3896hp;GRP;GRP;Teak;8;4;1;1;1;2;;;1;;;;;;;;;;
602;23.99 m;2010;10 kn;5.95 m;;6;3;https://www.superyachtpartners.com/yachts/ivanka/;;IVANKA;Sail Yacht;Shipman 80;Shipman - Seaway;;;;23.99 metres;22.15 metres;5.95 metres;2.5 metres;;36;2010;;;;10 kn;9 kn;1600 litres;1200 litres;;;;;;6;3;1;2;;;1400 nm;@ 7 kn;;;;;;;;;;;
603;24.48 m;2005;11.5 kn;6.05 m;96;6;2;https://camperandnicholsons.com/luxury-sailing-yacht-for-sale/fantasea-blue-barcos-deportivos-2005;;FANTASEA BLUE;Sail Yacht;;Barcos Deportivos;;;;24.48 metres;23.76 metres;6.05 metres;4 metres;96;33;2005;;Monohull;;11.5 kn;10 kn;2000 litres;2000 litres;Cummins;260hp;Carbon Fibre,Nomex;Carbon Fibre,Nomex;Teak;6;3;1;2;;;;;;;;;;;;;;;
604;31.07 m;2012;29 kn;7.05 m;199;8;6;https://www.fraseryachts.com/;;INDIGO;Motor Yacht;SL104;Sanlorenzo;;Sanlorenzo;Francesco Paszkowski Design;31.07 metres;;7.05 metres;2 metres;199;;2012;586;Deep V / Planing;;29 kn;25 kn;12500 litres;2800 litres;MTU;2430hp;GRP;GRP;Teak;8;4;1;;2;3;1200 nm;@ 10 kn;1;;;;;;;;;;
605;44 m;2024;16 kn;8.5 m;460;12;10;https://camperandnicholsons.com/luxury-motor-yacht-for-sale/explorer-sport-antonini-navi-2024;;EXPLORER SPORT;Motor Yacht;;Antonini Navi;;;;44 metres;;8.5 metres;2.3 metres;460;;2024;;;;16 kn;13 kn;;;MAN;;;;;12;6;;;;;4500 nm;@ 10 kn;;;;;;;;;;;
606;43 m;2024;16 kn;8.5 m;420;12;8;https://camperandnicholsons.com/luxury-motor-yacht-for-sale/island-antonini-navi-2024;;ISLAND;Motor Yacht;;Antonini Navi;;;;43 metres;;8.5 metres;2.2 metres;420;;2024;;;;16 kn;13 kn;;;MAN;;;;;12;6;;;;;4500 nm;;;;;;;;;;;;
607;41.9 m;2024;16 kn;8.5 m;370;;9;https://camperandnicholsons.com/luxury-motor-yacht-for-sale/crossover-antonini-navi-2024;;CROSSOVER;Motor Yacht;;Antonini Navi;;;;41.9 metres;;8.5 metres;2.1 metres;370;;2024;;;RINA;16 kn;14 kn;;;MAN;;;;;;10;5;;;;3500 nm;@ 10 kn;;;;;;;;;;;
608;38.4 m;1992;18 kn;8.17 m;241;8;5;https://www.fraseryachts.com/;;AFTERGLOW;Motor Yacht;;Christensen;;;;38.4 metres;34.44 metres;8.17 metres;2.13 metres;241;165;1992;011;Semi Displacement;;18 kn;14 kn;25854 litres;6434 litres;Detroit Diesel;2160hp;GRP;GRP;Teak;8;4;1;2;;3;2500 nm;@ 11 kn;1;2016-01-01;;;;;;;;;
609;46.6 m;2024;16 kn;8.5 m;465;12;10;https://camperandnicholsons.com/luxury-motor-yacht-for-sale/explorer-classic-antonini-navi-2024;;EXPLORER CLASSIC;Motor Yacht;;Antonini Navi;;;;46.6 metres;;8.5 metres;2.5 metres;465;;2024;;Steel;;16 kn;13 kn;;;;;;;;12;6;;;;;;;;;;;Expedition Yacht;;;;;;
610;38 m;2015;32 kn;8.1 m;271;10;7;https://www.oceanindependence.com/yachts-for-sale/yacht/angra-too;;ANGRA TOO;Motor Yacht;;CNT Castagnola;;;CNT Castagnola;38 metres;;8.1 metres;1.2 metres;271;;2015;;Deep V / Planing;RINA;32 kn;29 kn;;;MTU;;Wood;Wood;Teak;10;5;1;2;1;2;;;;;;;;;;;;;
611;36.93 m;2012;14 kn;7.67 m;287;10;7;https://www.northropandjohnson.com/yachts-for-sale/dreamweaver-120-christensen;;DREAM WEAVER;Motor Yacht;;Christensen;Ocean Alexander;Evan K. Marshall;Evan K. Marshall;36.93 metres;31.34 metres;7.67 metres;2.06 metres;287;190;2012;12001;Full Displacement;ABS;14 kn;12 kn;26498 litres;4543 litres;MTU;3840hp;;;;10;5;1;2;2;3;;;;;;;;;;;;;
612;43 m;2010;22 kn;8.23 m;375;12;8;https://www.northropandjohnson.com/;;ADAMARIS;Motor Yacht;;Urkmezler Yat;;;;43 metres;;8.23 metres;2.13 metres;375;215;2010;;Full Displacement;;22 kn;16 kn;17000 litres;5300 litres;MTU;2840hp;GRP;GRP;Teak;12;6;1;1;1;3;;;3;2021-01-01;;;;;;;;;
613;33.53 m;1991;18 kn;6.1 m;149;10;4;http://www.northropandjohnson.com/;;ISLAND TIME;Motor Yacht;;Broward Marine;Broward Marine;Broward Marine;;33.53 metres;28.59 metres;6.1 metres;1.67 metres;149;;1991;248;Semi Displacement;;18 kn;16 kn;30283 litres;3785 litres;Detroit Diesel;2100hp;Aluminium;Aluminium;Aluminium,Teak;10;4;1;1;2;2;4000 nm;@ 10 kn;;1995-01-01,1998-01-01,2007-01-01,2011-01-01;;;;;;;;;
614;74 m;2017;18 kn;13.2 m;2113;12;22;https://www.burgessyachts.com/en/buy-a-yacht/yachts-for-sale/aurora-00007626;;AURORA;Motor Yacht;;Lurssen;;Winch Design;Winch Design;74 metres;;13.2 metres;3.75 metres;2113;;2017;;Full Displacement;RINA;18 kn;16 kn;;;MTU;;Steel;Aluminium;Teak;12;6;;;;4;;;;2022-03-25,2022-03-02,2022-01-12,2019-11-24,2018-05-19,2018-10-11;;;;;;;;;
615;29.14 m;2009;12 kn;7.34 m;;6;4;https://www.burgessyachts.com/en/buy-a-yacht/yachts-for-sale/alcanara-00001188;;ALCANARA;Sail Yacht;;Ward;;;;29.14 metres;25.03 metres;7.34 metres;3.85 metres;;108;2009;337;Monohull;LR;12 kn;10.5 kn;8750 litres;2400 litres;Scania;318hp;Aluminium;Aluminium;Teak;6;3;1;;2;;2300 nm;@ 10.5 kn;;;;;;;;;;;
616;28.43 m;2022;14.5 kn;7.31 m;230;11;3;https://www.fraseryachts.com/en/yacht-for-sale/daydream-1/;;DAYDREAM;Motor Yacht;Navetta 30;Ferretti;;;;28.43 metres;23.91 metres;7.31 metres;2.2 metres;230;135;2022;N30-05;Semi Displacement;RINA;14.5 kn;13 kn;14500 litres;2500 litres;MAN;1000hp;GRP;GRP;Teak;11;5;1;2;2;3;850 nm;@ 13 kn;1;;;;;;;;;;
617;38.71 m;2014;19 kn;8.08 m;356;10;5;https://www.northropandjohnson.com/yachts-for-sale/sweet-caroline-127-iag;;SWEET CAROLINE;Motor Yacht;Primadonna 127;IAG Yachts;;;;38.71 metres;;8.08 metres;2.1 metres;356;210;2014;127/2;Semi Displacement;;19 kn;15 kn;;;Caterpillar;3600hp;GRP;GRP;Teak;10;5;1;2;2;3;;;;2020-08-19,2021-07-07,2022-07-29,2017-07-01;;;;;;;;;
618;55 m;2019;15 kn;9.4 m;707;10;13;https://www.burgessyachts.com/en/buy-a-yacht/yachts-for-sale/papa-10000053;Price from $315,000 p/w •;PAPA;Motor Yacht;LE 180;Amels;;Tim Heywood;Laura Sessa Design;55 metres;49.65 metres;9.4 metres;3.35 metres;707;720;2019;473;Full Displacement;LR;15 kn;13 kn;115000 litres;17000 litres;;;Steel;Aluminium;Teak;10;5;1;3;1;3;4500 nm;@ 13 kn;2;;;;;;;;;;
619;27.43 m;1996;12 kn;7.16 m;172;6;4;http://www.buyexploreryachts.com/brokerage-yacht-for-sale-abd90-rosa.shtml;;ROSA;Motor Yacht;;ABD Aluminium;A.G. McIlwain;A.G. McIlwain;;27.43 metres;23.68 metres;7.16 metres;2.07 metres;172;150;1996;351;Full Displacement;;12 kn;11 kn;38990 litres;5489 litres;Caterpillar;620hp;Aluminium;Aluminium;Teak;6;3;1;;2;3;6000 nm;@ 10 kn;;2005-01-01,2008-01-01,2014-01-01;;;Displacement, Expedition Yacht;;;;;;
620;26.01 m;2000;25 kn;6.86 m;124;8;;https://www.buyexploreryachts.com/ViewVessel.php?VesselID=303461;;ANDYKER;Motor Yacht;;Inace;;Gregory C. Marshall;Gregory C. Marshall;26.01 metres;;6.86 metres;1.5 metres;124;;2000;545;Semi Displacement;;25 kn;22 kn;;;Detroit Diesel;;Aluminium;Aluminium;Teak;8;;;;;;;;;;;;;;;;;;
621;27 m;2023;32 kn;6.5 m;80;;;https://camperandnicholsons.com/luxury-motor-yacht-for-sale/g27-sport-cantieri-navali-giangrasso-2023;;G27 SPORT;Motor Yacht;;Cantieri Navali Giangrasso;;;;27 metres;;6.5 metres;1.08 metres;80;;2023;;Aluminium;;32 kn;26 kn;;;VOLVO;;;;;;;;;;;;;;;;;;;;;;;
622;25.66 m;1973;12.5 kn;5.8 m;121;6;3;https://www.oceanindependence.com/yachts-for-sale/yacht/af;;AF;Motor Yacht;26D;Benetti;;;;25.66 metres;21.61 metres;5.8 metres;2.6 metres;121;120;1973;FB 106;Full Displacement;CE (Category A);12.5 kn;10.5 kn;22000 litres;1700 litres;MAN, General Motors;800hp, 650hp;Steel;GRP;Teak;6;3;1;2;2;2;2000 nm;@ 10.5 kn;;2021-01-01;;;Classic Yacht;;;;;;
623;32 m;1969;14 kn;6.96 m;184;6;6;https://www.fraseryachts.com/;;NEREUS;Motor Yacht;Motoryacht;Feadship;H.W. De Voogt;H.W. De Voogt;;32 metres;28.29 metres;6.96 metres;2.01 metres;184;;1969;706;Full Displacement;;14 kn;11 kn;18927.06 litres;4735.55 litres;Caterpillar;1320hp;Steel;Aluminium;Teak;6;3;1;;2;2;3 nm;;;1999-01-01,2004-01-01,2018-01-01;;;Displacement, Classic Yacht;;;;;;
624;31 m;1993;13 kn;6.99 m;86;10;4;https://www.oceanindependence.com/yachts-for-sale/yacht/hermina;;HERMINA;Motor Yacht;;Halkitis Shipyards;;Halkitis Shipyards;;31 metres;;6.99 metres;2.5 metres;86;90;1993;;Monohull;HR;13 kn;12 kn;5000 litres;4000 litres;Detroit Diesel;1080hp;Pine;Teak;Teak;10;5;1;;3;;550 nm;;1;2013-01-01;;;;;;;;;
625;31 m;2008;40 kn;7.92 m;82;10;5;https://www.northropandjohnson.com/yachts-for-sale/ale-mia-101-italcraft;;ALE.MIA;Motor Yacht;Maxidrago 105;Italcraft;;;;31 metres;;7.92 metres;1.6 metres;82;82;2008;105/3;Deep V / Planing;;40 kn;36 kn;10000 litres;1500 litres;MTU;4800hp;GRP;GRP;Teak;10;5;1;1;3;2;;;1;;;;;;;;;;
626;19.4 m;2022;33 kn;6.29 m;59.65;4;;https://www.fraseryachts.com/;;MAVERIC 1;Motor Yacht;;Palmer Johnson;;Palmer Johnson;Palmer Johnson;19.4 metres;;6.29 metres;1.25 metres;59.65;;2022;;;;33 kn;22 kn;2200 litres;670 litres;Volvo Penta;;;;;4;2;;;;;;;;;;;;;;;;;
627;41.1 m;2023;30 kn;7.89 m;318;10;;https://www.oceanindependence.com/yachts-for-sale/yacht/ghi-135;;GHI 135;Motor Yacht;;GHI Yachts;;Lazzara;;41.1 metres;;7.89 metres;2.19 metres;318;;2023;;;;30 kn;24 kn;33000 litres;7600 litres;MTU 12V;;;;;10;5;;;;;2200 nm;;;;;;;;;;;;
628;18.79 m;2011;;5.11 m;;6;2;https://www.northropandjohnson.com/yachts-for-sale/terrasavia-61-solaris;;TERRASAVIA;Sail Yacht;;Solaris Yachts;;Bill Tripp;;18.79 metres;;5.11 metres;4 metres;;;2011;;Composite;;;;800 litres;600 litres;Yanmar;;;;;6;3;;;;;;;;;;;;;;;;;
629;24.48 m;2000;9 kn;5.91 m;48;6;3;https://www.northropandjohnson.com/yachts-for-sale/umiko-80-nautor-s-swan;;UMIKO;Sail Yacht;80;Nautor Swan;;;;24.48 metres;21 metres;5.91 metres;3.81 metres;48;40;2000;80/003;Monohull;;9 kn;8.5 kn;1950 litres;1200 litres;Yanmar;220hp;GRP;GRP;Teak;6;3;1;1;1;;1400 nm;@ 8.5 kn;;2003-01-01,2007-01-01,2008-01-01;;;;;;;;;
630;34.35 m;2002;12 kn;7.42 m;110;6;6;https://www.northropandjohnson.com/yachts-for-sale/song-of-the-sea-112-nautor-s-swan;;SONG OF THE SEA;Sail Yacht;112;Nautor Swan;;German Frers;;34.35 metres;28.16 metres;7.42 metres;4.4 metres;110;110;2002;112/003;Monohull;BV;12 kn;10 kn;6800 litres;2950 litres;MTU;415hp;GRP;GRP;Teak;6;4;1;;3;;3000 nm;@ 10 kn;;2023-05-26;;;;;;;;;
631;26.49 m;1984;10.5 kn;6.37 m;60;6;5;https://www.camperandnicholsons.com/;;AURASTEL;Sail Yacht;;Thackwray;;Don Brooke;;26.49 metres;22.74 metres;6.37 metres;2.35 metres;60;78;1984;;Monohull;;10.5 kn;9 kn;8327 litres;4542 litres;Lugger;327hp;Steel;Aluminium;Teak;6;3;1;1;1;;2300 nm;@ 9 kn;;2020-01-01;;;;;;;;;
